20260703_030517,FRAGILE-PT.JAYAGANESHA-003,Barang Fragile Jayaganesha 003,Fragile Goods,RIGHT,VALID,CHECK,3.45,Moderate visual difference detected,1,1.13,86.7,REJECT,REJECT
20260703_030522,FRAGILE-PT.JAYAGANESHA-003,Barang Fragile Jayaganesha 003,Fragile Goods,RIGHT,VALID,PASS,0.00,Visual condition matched baseline,1,1.13,86.6,REJECT,REJECT
20260703_030552,FRAGILE-PT.JAYAGANESHA-003,Barang Fragile Jayaganesha 003,Fragile Goods,BOTTOM,VALID,CHECK,3.39,Moderate visual difference detected,1,1.13,174.8,REJECT,REJECT
20260703_030559,FRAGILE-PT.JAYAGANESHA-003,Barang Fragile Jayaganesha 003,Fragile Goods,BOTTOM,VALID,CHECK,3.43,Moderate visual difference detected,1,1.13,174.8,REJECT,REJECT
20260703_030606,FRAGILE-PT.JAYAGANESHA-003,Barang Fragile Jayaganesha 003,Fragile Goods,BOTTOM,VALID,PASS,0.00,Visual condition matched baseline,1,1.13,174.9,REJECT,REJECT
20260703_030802,FRAGILE-PT.JAYAGANESHA-003,Barang Fragile Jayaganesha 003,Fragile Goods,ALL,VALID,PASS,0.49,Overall visual status: PASS,1,1.13,174.9,REJECT,REJECT
20260703_030806,FRAGILE-PT.JAYAGANESHA-003,Barang Fragile Jayaganesha 003,Fragile Goods,ALL,VALID,PASS,0.49,Overall visual status: PASS,1,1.13,174.9,REJECT,REJECT
20260703_030815,FRAGILE-PT.JAYAGANESHA-003,Barang Fragile Jayaganesha 003,Fragile Goods,ALL,VALID,PASS,0.49,Overall visual status: PASS,1,1.13,174.8,REJECT,REJECT
20260703_030842,FRAGILE-PT.JAYAGANESHA-003,Barang Fragile Jayaganesha 003,Fragile Goods,ALL,VALID,PASS,0.49,Overall visual status: PASS,0,0.1,0.1,PASS,PASS
20260703_031256,FRAGILE-PT.JAYAGANESHA-003,Barang Fragile Jayaganesha 003,Fragile Goods,TOP,VALID,CHECK,2.81,Moderate visual difference detected,0,0.77,0.7,PASS,CHECK
20260703_031336,FRAGILE-PT.JAYAGANESHA-003,Barang Fragile Jayaganesha 003,Fragile Goods,BOTTOM,VALID,CHECK,2.11,Moderate visual difference detected,0,0.77,176.5,REJECT,REJECT
20260703_031530,FRAGILE-PT.JAYAGANESHA-003,Barang Fragile Jayaganesha 003,Fragile Goods,ALL,VALID,CHECK,1.20,Overall visual status: CHECK,0,0.94,1.6,PASS,CHECK
20260703_031905,FRAGILE-PT.JAYAGANESHA-003,Barang Fragile Jayaganesha 003,Fragile Goods,BOTTOM,VALID,CHECK,2.46,Moderate visual difference detected,0,0.94,176.4,REJECT,REJECT
20260703_031945,FRAGILE-PT.JAYAGANESHA-003,Barang Fragile Jayaganesha 003,Fragile Goods,BOTTOM,VALID,CHECK,6.00,Moderate visual difference detected,0,0.94,176.5,REJECT,REJECT
20260703_032050,FRAGILE-PT.JAYAGANESHA-003,Barang Fragile Jayaganesha 003,Fragile Goods,BOTTOM,VALID,REJECT,21.02,Major visual integrity change detected,2,2.55,175.3,REJECT,REJECT
20260703_032458,FRAGILE-PT.JAYAGANESHA-003,Barang Fragile Jayaganesha 003,Fragile Goods,TOP,VALID,PASS,0.00,Visual condition matched baseline,3,2.55,2.8,REJECT,REJECT
20260703_032502,FRAGILE-PT.JAYAGANESHA-003,Barang Fragile Jayaganesha 003,Fragile Goods,FRONT,VALID,PASS,0.00,Visual condition matched baseline,3,2.55,2.8,REJECT,REJECT
20260703_032505,FRAGILE-PT.JAYAGANESHA-003,Barang Fragile Jayaganesha 003,Fragile Goods,BACK,VALID,PASS,0.00,Visual condition matched baseline,3,2.55,2.8,REJECT,REJECT
20260703_032507,FRAGILE-PT.JAYAGANESHA-003,Barang Fragile Jayaganesha 003,Fragile Goods,LEFT,VALID,PASS,0.00,Visual condition matched baseline,3,2.55,2.8,REJECT,REJECT
20260703_032509,FRAGILE-PT.JAYAGANESHA-003,Barang Fragile Jayaganesha 003,Fragile Goods,RIGHT,VALID,PASS,0.00,Visual condition matched baseline,3,2.55,2.8,REJECT,REJECT
20260703_032511,FRAGILE-PT.JAYAGANESHA-003,Barang Fragile Jayaganesha 003,Fragile Goods,BOTTOM,VALID,PASS,0.00,Visual condition matched baseline,3,2.55,2.8,REJECT,REJECT
20260703_032556,FRAGILE-PT.JAYAGANESHA-003,Barang Fragile Jayaganesha 003,Fragile Goods,ALL,VALID,PASS,0.00,Overall visual status: PASS,1,1.84,2.7,CHECK,CHECK
20260703_032731,FRAGILE-PT.JAYAGANESHA-003,Barang Fragile Jayaganesha 003,Fragile Goods,TOP,VALID,CHECK,7.85,Moderate visual difference detected,1,1.84,2.6,CHECK,CHECK
20260703_032740,FRAGILE-PT.JAYAGANESHA-003,Barang Fragile Jayaganesha 003,Fragile Goods,TOP,VALID,PASS,0.00,Visual condition matched baseline,1,1.84,2.6,CHECK,CHECK
20260703_032744,FRAGILE-PT.JAYAGANESHA-003,Barang Fragile Jayaganesha 003,Fragile Goods,TOP,VALID,REJECT,9.04,Major visual integrity change detected,1,1.84,2.7,CHECK,REJECT
20260703_032746,FRAGILE-PT.JAYAGANESHA-003,Barang Fragile Jayaganesha 003,Fragile Goods,TOP,VALID,PASS,0.00,Visual condition matched baseline,1,1.84,2.7,CHECK,CHECK
20260703_032750,FRAGILE-PT.JAYAGANESHA-003,Barang Fragile Jayaganesha 003,Fragile Goods,TOP,VALID,CHECK,2.55,Moderate visual difference detected,1,1.84,2.7,CHECK,CHECK
20260703_032753,FRAGILE-PT.JAYAGANESHA-003,Barang Fragile Jayaganesha 003,Fragile Goods,TOP,VALID,PASS,0.13,Visual condition matched baseline,1,1.84,2.7,CHECK,CHECK
20260703_032807,FRAGILE-PT.JAYAGANESHA-003,Barang Fragile Jayaganesha 003,Fragile Goods,ALL,VALID,PASS,0.02,Overall visual status: PASS,1,1.84,2.7,CHECK,CHECK
